IT95125        |~BADKEY~                                                
IT00173        |~BADKEY~                                                
IT20030        |~BADKEY~                                                
IT41123        |~BADKEY~                                                
IT10121        |~BADKEY~                                                
IT20136        |~BADKEY~                                                
IT70020        |~BADKEY~                                                
IT74121VM      |~BADKEY~                                                
IT90100        |~BADKEY~                                                
IT00100        |~BADKEY~                                                
IT00172        |~BADKEY~                                                
IT08020        |~BADKEY~                                                
IT10023        |~BADKEY~                                                
IT33100        |~BADKEY~                                                
IT45100        |~BADKEY~                                                
IT48122        |~BADKEY~                                                
IT48124        |~BADKEY~                                                
IT10141        |~BADKEY~                                                
IT12345        |~BADKEY~                                                
IT15121        |~BADKEY~                                                
IT20135        |~BADKEY~                                                
IT60027        |~BADKEY~                                                
IT60035        |~BADKEY~                                                
IT10095        |~BADKEY~                                                
IT16159        |~BADKEY~                                                
IT24068        |~BADKEY~                                                
IT70056        |~BADKEY~                                                
IT84018        |~BADKEY~                                                
IT90143        |~BADKEY~                                                
IT95045        |~BADKEY~                                                
IT98121        |~BADKEY~                                                
